date,cases,deaths
30-Jul-20,4502581,152433
31-Jul-20,4571669,153862
08-Jan-20,4628497,154917
08-Feb-20,4679291,155337
08-Mar-20,4726775,155945
08-Apr-20,4780324,157301
08-May-20,4834047,158554
08-Jun-20,4891561,159625
08-Jul-20,4952718,160981
08-Aug-20,5007958,161947
08-Sep-20,5056438,162486
08-Oct-20,5103611,163023
08-Nov-20,5156968,164474
08-Dec-20,5211246,165952
13-Aug-20,5265307,167165
14-Aug-20,5324784,168341
15-Aug-20,5375527,169400
16-Aug-20,5417664,169914
17-Aug-20,5455187,170449
18-Aug-20,5498420,171798
19-Aug-20,5541433,173093
20-Aug-20,5587462,174136
21-Aug-20,5636491,175297
22-Aug-20,5681517,176247
23-Aug-20,5713850,176693
24-Aug-20,5754254,177197
25-Aug-20,5793437,178410
26-Aug-20,5838756,179603
27-Aug-20,5884368,180729
28-Aug-20,5930932,181739
29-Aug-20,5975541,182610
30-Aug-20,6008970,182984
31-Aug-20,6045457,183472
09-Jan-20,6089506,184563
09-Feb-20,6121950,185639
09-Mar-20,6168347,186717
09-Apr-20,6220448,187697
09-May-20,6262701,188409
09-Jun-20,6292699,188820
09-Jul-20,6317865,189083
09-Aug-20,6346807,189541
09-Sep-20,6380139,190716
09-Oct-20,6418200,191631
09-Nov-20,6465767,192858
09-Dec-20,6504871,193559
13-Sep-20,6538214,193958
14-Sep-20,6575101,194408
15-Sep-20,6614318,195689
16-Sep-20,6653586,196686
17-Sep-20,6698896,197535
18-Sep-20,6747783,198484
19-Sep-20,6789594,199154
20-Sep-20,6825950,199367
21-Sep-20,6880902,199797
22-Sep-20,6918293,200738
23-Sep-20,6959842,201828
24-Sep-20,7005046,202713
25-Sep-20,7059627,203566
26-Sep-20,7102322,204335
27-Sep-20,7139620,204602
28-Sep-20,7176980,204952
29-Sep-20,7220677,205878
30-Sep-20,7262735,206852
10-Jan-20,7309153,207699
10-Feb-20,7362733,208564
10-Mar-20,7410512,209273
10-Apr-20,7445575,209606
10-May-20,7507988,210035
10-Jun-20,7550850,210756
10-Jul-20,7603867,211752
10-Aug-20,7660249,212680
10-Sep-20,7719211,213595
10-Oct-20,7770859,214187
10-Nov-20,7815642,214606
10-Dec-20,7863658,214957
13-Oct-20,7918051,215783
14-Oct-20,7977904,216792
15-Oct-20,8043257,217585
16-Oct-20,8113721,218476
17-Oct-20,8166482,219154
18-Oct-20,8214364,219541
