date,cases,deaths,recovered
29-Oct-21,88723,2020,86703
30-Oct-21,29411,324,29087
31-Oct-21,18883,157,18726
03-Nov-21,1869658,55111,1814547
04-Nov-21,1906325,31210,1875115
05-Nov-21,1582104,20804,1561300
06-Nov-21,622178,16700,605478
07-Nov-21,475490,7590,467900
08-Nov-21,2418318,12048,2406270
09-Nov-21,4678234,40855,4637379
10-Nov-21,3465124,55567,3409557
11-Nov-21,2368931,44440,2324491
12-Nov-21,3022747,36564,2986183
15-Nov-21,148624,1191,147433
16-Nov-21,90486,1446,89040
17-Nov-21,114357,1618,112739
18-Nov-21,110273,3230,107043
19-Nov-21,119648,2002,117646
20-Nov-21,41064,325,40739
21-Nov-21,31372,123,31249
22-Nov-21,158898,1233,157665
23-Nov-21,92771,1478,91293
24-Nov-21,119892,1636,118256
25-Nov-21,30853,377,30476
26-Nov-21,51525,544,50981
27-Nov-21,24679,192,24487
28-Nov-21,23950,121,23829
29-Nov-21,216312,1874,214438
30-Nov-21,109294,1559,107735
03-Dec-21,1834197,51353,1782844
04-Dec-21,1914091,29970,1884121
05-Dec-21,1545655,21187,1524468
06-Dec-21,594974,16022,578952
07-Dec-21,502594,7693,494901
08-Dec-21,2521644,12797,2508847
09-Dec-21,4579083,40131,4538952
10-Dec-21,3537142,57794,3479348
11-Dec-21,2386706,43976,2342730
12-Dec-21,2929752,34698,2895054
13-Dec-21,202883,1289,201594
14-Dec-21,116859,1734,115125
15-Dec-21,145276,2093,143183
16-Dec-21,146319,1163,145156
17-Dec-21,171145,2096,169049
18-Dec-21,74663,474,74189
19-Dec-21,72479,163,72316
20-Dec-21,302900,1419,301481
21-Dec-21,189471,2088,187383
22-Dec-21,243692,2086,241606
23-Dec-21,265215,3284,261931
24-Dec-21,183925,1002,182923
25-Dec-21,58348,99,58249
26-Dec-21,189714,79,189635
27-Dec-21,543540,1743,541797
28-Dec-21,380712,2496,378216
29-Dec-21,489064,2101,486963
30-Dec-21,585055,1410,583645
31-Dec-21,446567,1195,445372
01-Jan-22,161060,273,160787
02-Jan-22,20435473,64916,20370557
03-Jan-22,3700496,61263,3639233
04-Jan-22,1050224,29093,1021131
05-Jan-22,1237781,12152,1225629
06-Jan-22,3089472,12130,3077342
15-Jan-22,423227,998,422229
16-Jan-22,337807,410,337397
17-Jan-22,712051,774,711277
18-Jan-22,1178403,2985,1175418
19-Jan-22,851955,3376,848579
20-Jan-22,748320,2672,745648
21-Jan-22,825315,3866,821449
22-Jan-22,337384,934,336450
23-Jan-22,199481,571,198910
24-Jan-22,1032159,2179,1029980
25-Jan-22,510913,2972,507941
26-Jan-22,684446,3895,680551
27-Jan-22,530264,3091,527173
28-Jan-22,555775,3879,551896
29-Jan-22,242113,1306,240807
30-Jan-22,104058,361,103697
31-Jan-22,661972,2573,659399
02-Feb-22,621434,7213,614221
03-Feb-22,3433613,59980,3373633
04-Feb-22,1003473,26882,976591
05-Feb-22,1322230,12406,1309824
06-Feb-22,3104951,12110,3092841
15-Feb-22,115512,2850,112662
16-Feb-22,141180,3306,137874
17-Feb-22,103865,3187,100678
18-Feb-22,109609,2491,107118
19-Feb-22,46211,692,45519
20-Feb-22,26167,414,25753
21-Feb-22,55659,760,54899
22-Feb-22,123117,2726,120391
23-Feb-22,84544,3024,81520
24-Feb-22,73406,2908,70498
25-Feb-22,85986,2809,83177
26-Feb-22,25222,565,24657
27-Feb-22,9086,197,8889
28-Feb-22,107800,1972,105828
03-Mar-22,3173108,58840,3114268
04-Mar-22,956663,25039,931624
05-Mar-22,1386637,13031,1373606
06-Mar-22,3177829,11853,3165976
15-Mar-22,48396,1523,46873
16-Mar-22,39396,2033,37363
17-Mar-22,35986,1208,34778
18-Mar-22,36469,1043,35426
19-Mar-22,12119,332,11787
20-Mar-22,7853,83,7770
21-Mar-22,46135,926,45209
22-Mar-22,25669,1030,24639
23-Mar-22,47087,1355,45732
24-Mar-22,37746,982,36764
25-Mar-22,33737,832,32905
26-Mar-22,12055,163,11892
27-Mar-22,7498,50,7448
28-Mar-22,42236,910,41326
29-Mar-22,25628,757,24871
30-Mar-22,45442,1208,44234
31-Mar-22,37777,875,36902
03-Apr-22,2909715,56756,2852959
04-Apr-22,948116,23772,924344
05-Apr-22,1450812,14339,1436473
06-Apr-22,3116264,10113,3106151
14-Apr-22,57463,616,56847
15-Apr-22,47618,723,46895
16-Apr-22,10903,40,10863
17-Apr-22,11279,17,11262
18-Apr-22,60076,317,59759
19-Apr-22,50022,454,49568
20-Apr-22,62897,611,62286
21-Apr-22,59266,484,58782
22-Apr-22,68097,490,67607
23-Apr-22,18917,97,18820
24-Apr-22,12391,28,12363
25-Apr-22,74612,353,74259
26-Apr-22,54653,306,54347
27-Apr-22,84470,671,83799
28-Apr-22,73569,463,73106
29-Apr-22,81831,419,81412
30-Apr-22,22326,89,22237
